Tabela,Coluna,Tipo de Dado,Aceita Null?,Valor Padrão
agenda_eventos,id,uuid,NO,gen_random_uuid()
agenda_eventos,titulo,text,NO,null
agenda_eventos,descricao,text,YES,null
agenda_eventos,data_inicio,timestamp with time zone,NO,null
agenda_eventos,data_fim,timestamp with time zone,YES,null
agenda_eventos,cor,text,YES,'#1e3a8a'::text
agenda_eventos,tipo,text,YES,'evento'::text
agenda_eventos,criado_por,uuid,YES,null
agenda_eventos,created_at,timestamp with time zone,YES,now()
agenda_eventos,subtitulo,text,YES,null
agenda_eventos,capa_url,text,YES,null
agenda_eventos,receber_notificacoes,boolean,YES,false
agenda_eventos,email_notificacao,text,YES,null
agenda_eventos,valor_tipo,text,YES,'gratuito'::text
agenda_eventos,vagas,integer,YES,0
agenda_eventos,formas_pagamento,jsonb,YES,'[]'::jsonb
agenda_eventos,programacao,jsonb,YES,'[]'::jsonb
agenda_eventos,campos_inscricao,jsonb,YES,'[]'::jsonb
agenda_eventos,detalhes_ricos,text,YES,null
agenda_eventos,local_nome,text,YES,null
agenda_eventos,local_url,text,YES,null
agenda_eventos,palestrantes,jsonb,YES,'[]'::jsonb
agenda_eventos,valor,numeric,YES,null
agenda_eventos,valor_transporte,numeric,YES,0.00
agenda_eventos,publicado,boolean,YES,true
agenda_inscricoes,id,uuid,NO,gen_random_uuid()
agenda_inscricoes,evento_id,uuid,YES,null
agenda_inscricoes,dados_inscricao,jsonb,YES,'{}'::jsonb
agenda_inscricoes,status_pagamento,text,YES,'pendente'::text
agenda_inscricoes,created_at,timestamp with time zone,YES,now()
alunos,id,uuid,NO,gen_random_uuid()
alunos,pessoa_id,uuid,NO,null
alunos,matricula,text,YES,null
alunos,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
alunos_turmas,id,uuid,NO,gen_random_uuid()
alunos_turmas,aluno_id,uuid,NO,null
alunos_turmas,turma_id,uuid,NO,null
alunos_turmas,status,text,YES,'ativo'::text
alunos_turmas,data_inscricao,date,YES,CURRENT_DATE
atuacoes,id,bigint,NO,nextval('zonas_moradia_id_seq'::regclass)
atuacoes,nome,text,NO,null
atuacoes,created_at,timestamp with time zone,YES,now()
aulas,id,uuid,NO,gen_random_uuid()
aulas,turma_disciplina_id,uuid,NO,null
aulas,data_aula,timestamp with time zone,NO,null
aulas,conteudo_proposto,text,YES,null
aulas,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
aulas,presencas,text,YES,null
aulas,observacoes,text,YES,null
avaliacoes,id,uuid,NO,gen_random_uuid()
avaliacoes,turma_disciplina_id,uuid,NO,null
avaliacoes,aluno_id,uuid,NO,null
avaliacoes,nota,numeric,YES,null
avaliacoes,observacao,text,YES,null
avaliacoes,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
bloqueios_escala,id,uuid,NO,gen_random_uuid()
bloqueios_escala,pessoa_id,uuid,NO,null
